Length	Score	ID	Pvalue	Qvalues
34	3.30538693681	105697	0.276	0.491237677985
34	5.58384263645	106562	0.174	0.416579588993
34	-8.11157727274	161059	0.935	0.66646562123
34	-1.26312317125	161063	0.559	0.602536997886
34	12.509825982	[105964, 105962, 105961]	0.032	0.282225237449
35	0.659747420422	104488	0.431	0.573607698608
35	-3.6183176507	105999	0.72	0.613636363636
35	-3.60956213625	106418	0.719	0.613636363636
35	6.82877608542	106553	0.128	0.371840354767
35	-6.94570911195	169350	0.891	0.651608910891
35	10.8442802026	187191	0.047	0.304407713499
35	9.284230162	187208	0.069	0.323153409091
35	-3.6183176507	[105999, 105998]	0.72	0.613636363636
35	-3.6183176507	[105999, 105998, 105944]	0.72	0.613636363636
35	-3.6183176507	[105999, 105998, 105944, 105943]	0.72	0.613636363636
35	-3.6183176507	[105999, 105998, 105944, 105943, 105942]	0.72	0.613636363636
35	-3.6183176507	[105999, 105998, 105944, 105943, 105942, 105941]	0.72	0.613636363636
36	-0.143578912178	82964	0.476	0.582345191041
36	0.504153120835	83038	0.434	0.576302349336
36	10.0234513612	83088	0.065	0.323153409091
36	4.6140823906	83115	0.208	0.438961038961
36	7.03118754566	105656	0.126	0.371840354767
36	2.24845155378	105754	0.336	0.518772136954
36	1.13385057329	106053	0.386	0.545672031318
36	9.09957665234	106114	0.078	0.335840418574
36	-2.97844350241	106363	0.671	0.613636363636
36	11.5699050381	106444	0.048	0.304407713499
36	7.56011539602	106460	0.11	0.365168539326
36	7.0927275835	128760	0.124	0.371840354767
36	0.0977401346474	160958	0.458	0.582345191041
36	24.0730740926	161033	0.0	0.0
36	6.51561956124	187220	0.138	0.379281183932
36	8.73022453766	194385	0.084	0.337095790116
37	6.19812521749	83035	0.163	0.404698242934
37	5.597125724	83058	0.18	0.416579588993
37	-1.13304352846	105767	0.536	0.598684210526
37	13.0839787133	130626	0.036	0.295454545455
37	-1.13304352846	[105767, 105766]	0.536	0.598684210526
38	1.83846573085	105980	0.353	0.526071185672
38	9.49932349314	106200	0.069	0.323153409091
38	5.35331273007	160949	0.202	0.433616742969
38	-0.223886034005	161052	0.502	0.586237872799
38	9.05874987896	169356	0.08	0.335927770859
38	-1.49184707616	170720	0.6	0.613636363636
38	3.05342681967	172846	0.289	0.492140424417
38	-4.88588309906	187194	0.791	0.626458434614
38	5.35331273007	[160949, 106561]	0.202	0.433616742969
38	-0.223886034005	[161052, 106004]	0.502	0.586237872799
38	-0.223886034005	[161052, 106004, 106003]	0.502	0.586237872799
38	-0.223886034005	[161052, 106004, 106003, 106001]	0.502	0.586237872799
38	-0.223886034005	[161052, 106004, 106003, 106001, 105950]	0.502	0.586237872799
38	-0.223886034005	[161052, 106004, 106003, 106001, 105950, 105948]	0.502	0.586237872799
39	10.9797665917	82998	0.058	0.315830721003
39	-4.83371074452	105953	0.761	0.615126676602
39	10.4178253127	106560	0.067	0.323153409091
39	5.5044586736	125138	0.204	0.433616742969
39	-2.63985452293	160141	0.616	0.613636363636
39	3.99420843125	160999	0.259	0.476715002789
39	4.70640742035	205110	0.229	0.45408785845
39	10.4178253127	[106560, 106559]	0.067	0.323153409091
40	2.89616527979	83030	0.297	0.497957099081
40	2.55746150817	83044	0.324	0.518772136954
40	-11.2997219045	83074	0.978	0.669651322027
40	7.5121698476	106327	0.116	0.370515970516
40	11.9667611763	143700	0.036	0.295454545455
41	13.9005251481	82990	0.031	0.282225237449
41	-8.13738595124	83040	0.902	0.657612939208
41	12.4693485103	106496	0.041	0.299102132435
41	2.05684844563	187181	0.332	0.518772136954
41	2.05684844563	[187181, 187180]	0.332	0.518772136954
42	7.90695303256	82952	0.117	0.371700879765
42	-0.0177251685137	82974	0.471	0.582345191041
42	-3.73207471936	105925	0.717	0.613636363636
42	1.49477544962	160135	0.379	0.543921139102
42	12.9057455519	[106496, 106495]	0.042	0.302325581395
43	5.38209171746	82935	0.213	0.443181818182
43	-1.19053536388	82973	0.567	0.602536997886
43	7.50392508165	82994	0.135	0.374519846351
43	21.8223911099	83094	0.005	0.134297520661
43	0.674643954901	105750	0.46	0.582345191041
43	-2.69414977862	105890	0.635	0.613636363636
43	1.1974900548	187189	0.436	0.577660008153
44	1.89670903803	82940	0.365	0.533865886589
44	4.0222720246	82979	0.258	0.476715002789
44	-8.46239013602	83062	0.92	0.663426488457
44	8.52376998865	106198	0.108	0.362603305785
44	-13.1369821698	106548	0.988	0.672601591956
44	0.715453908313	187094	0.431	0.573607698608
45	-3.19629309766	169347	0.663	0.613636363636
46	-4.9603404988	83063	0.749	0.613636363636
46	0.747362106272	83109	0.422	0.570626170169
46	6.84610172822	105979	0.159	0.404698242934
46	-4.84342319637	106111	0.746	0.613636363636
46	-9.80947615601	106176	0.934	0.66646562123
46	-3.48911808077	106242	0.674	0.613636363636
46	-4.58254424652	106359	0.731	0.613636363636
46	4.0766530158	106413	0.249	0.476169461606
46	-1.05364329794	160993	0.539	0.598684210526
47	17.6806074683	82956	0.011	0.19696969697
47	-0.00739527363197	82975	0.469	0.582345191041
47	8.21403884687	105677	0.116	0.370515970516
47	1.36101832005	105906	0.38	0.543921139102
47	14.6018821216	105960	0.025	0.27990430622
47	-10.1652751204	106026	0.958	0.668496216562
47	9.0593848185	106229	0.098	0.350964187328
47	3.87883831497	119551	0.261	0.476715002789
47	4.64097499837	152665	0.233	0.457856712824
47	-9.40917509607	160939	0.943	0.668138216699
47	9.0593848185	[106229, 106228]	0.098	0.350964187328
48	6.18098198152	82957	0.188	0.422398893882
48	13.6782964398	83099	0.041	0.299102132435
48	12.4056956935	83101	0.055	0.315151515152
48	-4.03091292897	105749	0.726	0.613636363636
48	-4.09123036603	105883	0.73	0.613636363636
48	-5.54075820232	105972	0.808	0.62905737214
48	5.66878885769	377262	0.207	0.438416422287
48	-4.03091292897	[105749, 105748]	0.726	0.613636363636
48	-4.03091292897	[105749, 105748, 105747]	0.726	0.613636363636
48	-5.54075820232	[105972, 105969]	0.808	0.62905737214
48	-10.047284142	[160939, 105744]	0.949	0.668496216562
49	-3.38800244337	106261	0.653	0.613636363636
49	-2.50236821175	119546	0.608	0.613636363636
49	-9.37239947174	161015	0.934	0.66646562123
49	2.26681754266	169355	0.336	0.518772136954
49	-8.9451077965	187212	0.923	0.663426488457
49	-4.99695995179	[105972, 105971]	0.752	0.613636363636
49	-4.99695995179	[105972, 105971, 105970]	0.752	0.613636363636
49	-8.28409182259	[106026, 105797]	0.903	0.657612939208
49	-8.28409182259	[106026, 105797, 105796]	0.903	0.657612939208
50	11.0182969745	82986	0.074	0.331267217631
50	7.07132386507	83103	0.163	0.404698242934
50	-5.76638924116	83113	0.783	0.625245700246
50	5.09225326642	83119	0.234	0.457856712824
50	-2.98607880446	106017	0.642	0.613636363636
50	9.85335113942	106443	0.096	0.350964187328
50	11.7714038269	169348	0.069	0.323153409091
